"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual"
"Madagascar",3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,2015,"Other",3.8480051465804,-0.167005146580402
"Central African Republic",3.678,0.0785,0,0.06699,0.48879,0.23835,0.08289,2015,"Other",3.56649749162882,0.11150250837118
"Chad",3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,2015,"Other",4.13808344464173,-0.471083444641732
"Guinea",3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,2015,"Other",3.77408063752999,-0.11808063752999
"Ivory Coast",3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922,2015,"Other",4.40585637278706,-0.750856372787059
"Burkina Faso",3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,2015,"Other",3.95623392590046,-0.369233925900464
"Afghanistan",3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,2015,"Other",4.0901095410578,-0.515109541057798
"Rwanda",3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,2015,"SubSaharanAfrica",3.87803494421051,-0.413034944210507
"Benin",3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,2015,"SubSaharanAfrica",4.01813783676657,-0.67813783676657
"Syria",3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906,2015,"Other",4.83516965017815,-1.82916965017815
"Burundi",2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,2015,"Other",3.42936720187285,-0.524367201872846
"Togo",2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,2015,"Other",3.84895985112934,-1.00995985112934
"Denmark",7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2016,"Nordic",6.52451934951685,1.00148065048315
"Switzerland",7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2016,"WesternEurope",6.71014429079254,0.798855709207464
"Iceland",7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2016,"Nordic",6.49171222956257,1.00928777043743
"Norway",7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2016,"Nordic",6.81887212021772,0.679127879782277
"Finland",7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2016,"Nordic",6.44684111576267,0.966158884237328
"Canada",7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2016,"NorthAmerica",6.52098260311966,0.88301739688034
"Netherlands",7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2016,"WesternEurope",6.57420738172273,0.76479261827727
"New Zealand",7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2016,"Other",6.34850654722247,0.985493452777528
"Australia",7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2016,"Other",6.53026927464111,0.78273072535889
"Sweden",7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2016,"Nordic",6.54628227366641,0.744717726333589
"Israel",7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,2016,"MiddleEast",6.29860153671001,0.968398463289987
"Austria",7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,2016,"WesternEurope",6.54317948388238,0.575820516117624
"United States",7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2016,"NorthAmerica",6.66811559280878,0.435884407191217
"Costa Rica",7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,2016,"LatinAmerica",5.71521196381937,1.37178803618063
"Puerto Rico",7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,2016,"Other",6.34583771405159,0.693162285948412
"Germany",6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2016,"WesternEurope",6.53773332838732,0.45626667161268
"Brazil",6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,2016,"LatinAmerica",5.75589539630235,1.19610460369765
"Belgium",6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,2016,"WesternEurope",6.48895660506906,0.440043394930944
"Ireland",6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,2016,"WesternEurope",6.6148474185444,0.292152581455603
"Luxembourg",6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,2016,"WesternEurope",7.07941967075407,-0.208419670754072
"Mexico",6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,2016,"LatinAmerica",5.81565122193336,0.962348778066641
"Singapore",6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,2016,"EastAsia",6.96665604482657,-0.227656044826574
"United Kingdom",6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,2016,"WesternEurope",6.44000629910553,0.284993700894468
"Chile",6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,2016,"LatinAmerica",6.0361445770758,0.668855422924205
